ai_shock,reskill_speed,overall_unemployment,best_archetype,best_initial_path,best_wealth,worst_archetype,worst_initial_path,worst_wealth
0.0,0.5,0.59,NarrativeCaptive,Credentialed,5782.383749472135,SocialMirror,Corporate,3036.6377238424025
0.0,1.0,0.52,ProbabilisticBayesian,Credentialed,5714.928306637333,StrategicOptions,Corporate,2769.3295552660666
0.0,1.5,0.61,EmotionDriven,Entrepreneur,6301.601318837086,SocialMirror,Entrepreneur,836.0976332713522
0.0,2.0,0.625,SocialMirror,Entrepreneur,6933.468590686972,EmotionDriven,Entrepreneur,1000.7563113674743
0.0,3.0,0.59,NarrativeCaptive,Entrepreneur,7880.759321491037,EmotionDriven,Entrepreneur,1962.3572960487063
0.25,0.5,0.525,StrategicOptions,Credentialed,5638.431643957066,LossAversion,Entrepreneur,1099.981487714575
0.25,1.0,0.635,NarrativeCaptive,Entrepreneur,6511.508917596084,NarrativeCaptive,Emerging,2588.449226436377
0.25,1.5,0.525,ProbabilisticBayesian,Entrepreneur,7976.553155384268,AnchoredExtrapolator,Entrepreneur,1195.7216367820865
0.25,2.0,0.59,NarrativeCaptive,Credentialed,5574.017011829375,NarrativeCaptive,Entrepreneur,1405.301224059496
0.25,3.0,0.54,EmotionDriven,Entrepreneur,7441.453976039784,LossAversion,Entrepreneur,1209.7879112233215
0.5,0.5,0.725,EmotionDriven,Credentialed,5507.707910735856,AnchoredExtrapolator,Entrepreneur,1107.6057245415136
0.5,1.0,0.715,Credentialist,Credentialed,5422.915494692786,StrategicOptions,Corporate,2568.1305852700443
0.5,1.5,0.685,AnchoredExtrapolator,Entrepreneur,7720.3825394475225,NarrativeCaptive,Corporate,2492.4966939692613
0.5,2.0,0.62,AnchoredExtrapolator,Entrepreneur,7005.910689415409,StrategicOptions,Entrepreneur,981.2225576846668
0.5,3.0,0.64,SocialMirror,Credentialed,5952.694886365687,NarrativeCaptive,Entrepreneur,2531.0819710186433
0.75,0.5,0.74,StrategicOptions,Entrepreneur,6434.19321998508,LossAversion,Entrepreneur,925.1238586331147
0.75,1.0,0.76,StrategicOptions,Entrepreneur,7504.055387429888,EmotionDriven,Entrepreneur,1207.408784697435
0.75,1.5,0.75,ProbabilisticBayesian,Entrepreneur,7702.748959497419,NarrativeCaptive,Emerging,2215.750304504711
0.75,2.0,0.805,ProbabilisticBayesian,Entrepreneur,7889.862822323215,Credentialist,Entrepreneur,1495.889084359158
0.75,3.0,0.695,EmotionDriven,Entrepreneur,7331.945743235809,LossAversion,Entrepreneur,1922.8464464430663
1.0,0.5,0.815,NarrativeCaptive,Entrepreneur,7809.962726554091,LossAversion,Emerging,2344.938967889364
1.0,1.0,0.82,AnchoredExtrapolator,Emerging,5810.724564458719,EmotionDriven,Emerging,2485.8776098711905
1.0,1.5,0.78,Credentialist,Entrepreneur,5656.954413374292,LossAversion,Entrepreneur,1947.7748199746534
1.0,2.0,0.77,StrategicOptions,Credentialed,6217.723724401725,LossAversion,Emerging,2519.295384040993
1.0,3.0,0.78,AnchoredExtrapolator,Emerging,5695.8280616492175,LossAversion,Emerging,2401.7032927358373
